col1,col2,cond
arabic_arabic13_A_lowpass.wav,arabic_arabic16_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic17_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic18_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic2_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic20_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic21_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic23_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic32_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic35_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic38_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic4_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic40_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic41_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic43_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic44_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic5_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic6_A_lowpass.wav,cond1
arabic_arabic13_A_lowpass.wav,arabic_arabic8_A_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic16_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic17_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic18_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic20_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic23_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic32_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic38_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic4_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic43_B_lowpass.wav,cond1
arabic_arabic13_B_lowpass.wav,arabic_arabic6_B_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic16_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic17_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic2_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic20_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic21_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic23_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic32_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic35_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic37_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic38_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic4_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic40_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic41_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic43_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic5_C_lowpass.wav,cond1
arabic_arabic13_C_lowpass.wav,arabic_arabic6_C_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic16_D_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic17_D_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic18_D_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic23_D_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic32_D_lowpass.wav,cond1
arabic_arabic13_D_lowpass.wav,arabic_arabic35_D_lowpass.wav,cond1
